"installid"	"sessionid"	"time"	"lat"	"lng"	"accuracy"
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:24:27"	40.7240965	-73.9968682	20.726
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:26:42"	40.7234066	-73.9960877	22.45
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:25:42"	40.7237676	-73.996455	20.358
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:28:43"	40.723629	-73.996129	33.351
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:27:43"	40.723629	-73.996129	33.351
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:34:45"	40.723548	-73.9959959	20.103
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:33:00"	40.7233935	-73.9959959	50
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:31:51"	40.7233935	-73.9959959	50
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:30:43"	40.7233935	-73.9959959	50
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:39:50"	40.7218749	-73.9961796	20.055
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:38:49"	40.7221839	-73.9961796	19.873
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:37:47"	40.7227627	-73.9959041	20.883
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:35:45"	40.723548	-73.9959959	20.103
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:41:52"	40.7204344	-73.9969141	23.108
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:40:51"	40.7210132	-73.9966387	21.626
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:44:55"	40.7193279	-73.9972814	20.698
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:43:54"	40.7197653	-73.9970978	22.447
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:42:53"	40.7203893	-73.9968682	20.08
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:47:43"	40.7191474	-73.9970978	50
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:46:40"	40.7191263	-73.9966632	40.5
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:49:45"	40.719075	-73.9966323	42.787
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:54:09"	40.7178231	-73.9981078	20.022
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:53:08"	40.7181832	-73.9979241	20.011
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:52:07"	40.7189678	-73.997465	19.844
